,Name,Integer notation
5,Locrian ♮6,"(0,1,3,5,6,9,10)"
7,Phrygian dominant scale (also known as G**** scale),"(0,2,3,6,7,8,10)"
13,Acoustic scale or Lydian dominant scale,"(0,2,4,6,7,9,10)"
14,Aeolian mode or natural minor scale,"(0,2,3,5,7,8,10)"
15,Algerian scale,"(0,2,3,6,7,9,11,12,14,15,17)"
16,Altered scale or Super Locrian scale,"(0,1,3,4,6,8,10)"
17,Augmented scale,"(0,3,4,7,8,11)"
18,Bebop dominant scale,"(0,2,4,5,7,9,10,11)"
19,Blues scale,"(0,3,5,6,7,10)"
20,Chromatic scale,"(0,1,2,3,4,5,6,7,8,9,10,11)"
21,Dorian mode,"(0,2,3,5,7,9,10)"
22,Double harmonic scale,"(0,1,4,5,7,8,11)"
23,Enigmatic scale,"(0,1,4,6,8,10,11)"
25,Flamenco mode,"(0,1,4,5,7,8,11)"
26,Half diminished scale,"(0,2,3,5,6,8,10)"
27,Harmonic major scale,"(0,2,4,5,7,8,11)"
28,Harmonic minor scale,"(0,2,3,5,7,8,11)"
30,Hirajōshi scale,"(0,4,6,7,11)"
31,"Hungarian ""Gypsy"" scale/Hungarian minor scale","(0,2,3,6,7,8,11)"
32,Hungarian major scale,"(0,3,4,6,7,9,10)"
33,Insen scale,"(0,1,5,7,10)"
34,Ionian mode or major scale,"(0,2,4,5,7,9,11)"
35,Istrian scale,"(0,1,3,4,6,7)"
36,Iwato scale,"(0,1,5,6,10)"
37,Locrian mode,"(0,1,3,5,6,8,10)"
38,Lydian augmented scale,"(0,2,4,6,8,9,11)"
39,Lydian diminished scale,"(0,2,3,6,7,9,11)"
40,Lydian mode,"(0,2,4,6,7,9,11)"
41,Major bebop scale,"(0,2,4,5,7,(8),9,11)"
42,Major Locrian scale,"(0,2,4,5,6,8,10)"
43,Major pentatonic scale,"(0,2,4,7,9)"
44,Melodic minor scale (ascending),"(0,2,3,5,7,9,11)"
45,Yo scale,"(0,2,5,7,9)"
46,Minor pentatonic scale,"(0,3,5,7,10)"
47,Mixolydian mode or Adonai malakh mode,"(0,2,4,5,7,9,10)"
48,In scale,"(0,1,5,7,8)"
49,Neapolitan major scale,"(0,1,3,5,7,9,11)"
50,Neapolitan minor scale,"(0,1,3,5,7,8,11)"
51,Octatonic scale,"(0,2,3,5,6,8,9,11) (0,1,3,4,6,7,9,10)"
53,Persian scale,"(0,1,4,5,6,8,11)"
54,Phrygian dominant scale,"(0,1,4,5,7,8,10)"
55,Phrygian mode,"(0,1,3,5,7,8,10)"
56,Prometheus scale,"(0,2,4,6,9,10)"
57,Quarter tone scale,"(0,1/2,1,3/2,2,5/2,3, 7/2,4,9/2,5,11/2,6, 13/2,7,15/2,8,17/2,9, 19/2,10,21/2,11,23/2)"
58,Scale of harmonics,"(0,3,4,5,7,9)"
60,Melodic minor scale,"(0,2,3,5,7,9,11) (ascending) (12,10,8,7,5,3,2) (descending)"
61,Tritone scale,"(0,1,4,6,7,10)"
62,Two-semitone tritone scale,"(0,1,2,6,7,8)"
63,Ukrainian Dorian scale,"(0,2,3,6,7,9,10)"
64,Vietnamese scale of harmonics,"(0,5/2,3,4,5,7)"
65,Whole tone scale,"(0,2,4,6,8,10)"
